Date,Model,Actual,Forecast
2025-08-11,ARIMA,,675.5053002629536
2025-08-12,ARIMA,,703.4353082928485
2025-08-13,ARIMA,,724.6367226885894
2025-08-14,ARIMA,,747.8460874988954
2025-08-15,ARIMA,,771.940259259622
2025-08-18,ARIMA,,794.730147017309
2025-08-19,ARIMA,,818.1328495984803
2025-08-20,ARIMA,,841.550337417372
2025-08-21,ARIMA,,864.7486873322202
2025-08-22,ARIMA,,888.0956071699403
2025-08-25,ARIMA,,911.4130413976261
2025-08-26,ARIMA,,934.700528995906
2025-08-27,ARIMA,,958.0190531630177
2025-08-28,ARIMA,,981.326024160107
2025-08-29,ARIMA,,1004.6305199176419
2025-09-01,ARIMA,,1027.9406866591153
2025-09-02,ARIMA,,1051.2477215319173
2025-09-03,ARIMA,,1074.5550197267787
2025-09-04,ARIMA,,1097.8632003098173
2025-09-05,ARIMA,,1121.1706726651184
2025-09-08,ARIMA,,1144.4783408475107
2025-09-09,ARIMA,,1167.7861130422477
2025-09-10,ARIMA,,1191.0937456139986
2025-09-11,ARIMA,,1214.4014406209417
2025-09-12,ARIMA,,1237.7091394301196
2025-09-15,ARIMA,,1261.0168143036317
2025-09-16,ARIMA,,1284.3245046597474
2025-09-17,ARIMA,,1307.632192317587
2025-09-18,ARIMA,,1330.93987659219
2025-09-19,ARIMA,,1354.2475641575575
2025-09-22,ARIMA,,1377.5552505688324
2025-09-23,ARIMA,,1400.8629366679813
2025-09-24,ARIMA,,1424.1706233790949
2025-09-25,ARIMA,,1447.4783097675806
2025-09-26,ARIMA,,1470.785996173731
2025-09-29,ARIMA,,1494.0936826774123
2025-09-30,ARIMA,,1517.4013691067103
2025-10-01,ARIMA,,1540.7090555549214
2025-10-02,ARIMA,,1564.016742015216
2025-10-03,ARIMA,,1587.3244284605973
2025-10-06,ARIMA,,1610.6321149123157
2025-10-07,ARIMA,,1633.9398013646728
2025-10-08,ARIMA,,1657.2474878144233
2025-10-09,ARIMA,,1680.5551742657833
2025-10-10,ARIMA,,1703.8628607169032
2025-10-13,ARIMA,,1727.170547167643
2025-10-14,ARIMA,,1750.4782336187309
2025-10-15,ARIMA,,1773.7859200697042
2025-10-16,ARIMA,,1797.0936065206392
2025-10-17,ARIMA,,1820.4012929716403
2025-10-20,ARIMA,,1843.708979422608
2025-10-21,ARIMA,,1867.0166658735766
2025-10-22,ARIMA,,1890.3243523245558
2025-10-23,ARIMA,,1913.6320387755275
2025-10-24,ARIMA,,1936.9397252265007
2025-10-27,ARIMA,,1960.2474116774754
2025-10-28,ARIMA,,1983.5550981284484
2025-10-29,ARIMA,,2006.8627845794222
2025-10-30,ARIMA,,2030.170471030396
2025-10-31,ARIMA,,2053.478157481369
