Date,Model,Actual,Forecast
2025-08-11,HWES,,657.0389801025599
2025-08-12,HWES,,658.0632292902969
2025-08-13,HWES,,654.7966116633982
2025-08-14,HWES,,655.7869330035246
2025-08-15,HWES,,657.2485192596471
2025-08-18,HWES,,656.7246896014758
2025-08-19,HWES,,658.3185915742557
2025-08-20,HWES,,658.4423801473735
2025-08-21,HWES,,658.8395202515901
2025-08-22,HWES,,659.2370599755219
2025-08-25,HWES,,658.438531089311
2025-08-26,HWES,,656.2000367897615
2025-08-27,HWES,,660.8571880605947
2025-08-28,HWES,,658.2323203230432
2025-08-29,HWES,,659.8686324705111
2025-09-01,HWES,,661.5490935760317
2025-09-02,HWES,,666.2201057138918
2025-09-03,HWES,,672.7383237327687
2025-09-04,HWES,,673.2553688037049
2025-09-05,HWES,,672.2725316172533
2025-09-08,HWES,,671.5598246113084
2025-09-09,HWES,,673.1109597791716
2025-09-10,HWES,,674.1682720736947
2025-09-11,HWES,,670.7923762088367
2025-09-12,HWES,,671.8145963518847
2025-09-15,HWES,,673.3237284712775
2025-09-16,HWES,,672.7815919437661
2025-09-17,HWES,,674.427448181986
2025-09-18,HWES,,674.5544130037349
2025-09-19,HWES,,674.9638033018791
2025-09-22,HWES,,675.3736078043703
2025-09-23,HWES,,674.5476385668082
2025-09-24,HWES,,672.2339707587022
2025-09-25,HWES,,677.0447406176837
2025-09-26,HWES,,674.3317891842952
2025-09-29,HWES,,676.0214789179106
2025-09-30,HWES,,677.756824978633
2025-10-01,HWES,,682.5823032247501
2025-10-02,HWES,,689.3170502258039
2025-10-03,HWES,,689.8504171059083
2025-10-06,HWES,,688.8337765615078
2025-10-07,HWES,,688.0963068226941
2025-10-08,HWES,,689.6983018933316
2025-10-09,HWES,,690.789996316162
2025-10-10,HWES,,687.3003701146632
2025-10-13,HWES,,688.3557592696515
2025-10-14,HWES,,689.9143424343281
2025-10-15,HWES,,689.3531346685527
2025-10-16,HWES,,691.0530298897621
2025-10-17,HWES,,691.1832775993734
2025-10-20,HWES,,691.605392881144
2025-10-21,HWES,,692.0279376009915
2025-10-22,HWES,,691.1733924716831
2025-10-23,HWES,,688.7814817433286
2025-10-24,HWES,,693.7520788177595
2025-10-27,HWES,,690.9474469782322
2025-10-28,HWES,,692.6926574368644
2025-10-29,HWES,,694.4850944924902
2025-10-30,HWES,,699.4712980102138
2025-10-31,HWES,,706.4313823234545
