Date,Model,Actual,Forecast
2025-08-09,Prophet,,734.5157430134745
2025-08-10,Prophet,,735.1452878350884
2025-08-11,Prophet,,733.2654141980903
2025-08-12,Prophet,,733.8030226002095
2025-08-13,Prophet,,734.5390260371498
2025-08-14,Prophet,,735.0583826846648
2025-08-15,Prophet,,735.6690582809114
2025-08-16,Prophet,,738.7985375074239
2025-08-17,Prophet,,739.3797364420827
2025-08-18,Prophet,,737.4462036736448
2025-08-19,Prophet,,737.9248120096014
2025-08-20,Prophet,,738.596388750422
2025-08-21,Prophet,,739.0457667687564
2025-08-22,Prophet,,739.580769223995
2025-08-23,Prophet,,742.6287462754491
2025-08-24,Prophet,,743.1225148118272
2025-08-25,Prophet,,741.0955876453422
2025-08-26,Prophet,,741.474892914623
2025-08-27,Prophet,,742.0414304749713
2025-08-28,Prophet,,742.3803463545446
2025-08-29,Prophet,,742.7999370203376
2025-08-30,Prophet,,745.728200842434
2025-08-31,Prophet,,746.0987869451208
2025-09-01,Prophet,,743.9462272400018
2025-09-02,Prophet,,744.1986519324869
2025-09-03,Prophet,,744.6384350464132
2025-09-04,Prophet,,744.85225104235
2025-09-05,Prophet,,745.1500545055127
2025-09-06,Prophet,,747.9616007565858
2025-09-07,Prophet,,748.2223582609124
2025-09-08,Prophet,,745.968699523416
2025-09-09,Prophet,,746.1305718337654
2025-09-10,Prophet,,746.492095631277
2025-09-11,Prophet,,746.6415729059192
2025-09-12,Prophet,,746.8904190296303
2025-09-13,Prophet,,749.6696373244788
2025-09-14,Prophet,,749.9156886878325
2025-09-15,Prophet,,747.6656443538087
2025-09-16,Prophet,,747.8498244510314
2025-09-17,Prophet,,748.2523712847635
2025-09-18,Prophet,,748.4612407429642
2025-09-19,Prophet,,748.7871259962186
2025-09-20,Prophet,,751.6599333381805
2025-09-21,Prophet,,752.0146627708906
2025-09-22,Prophet,,749.8865814286744
2025-09-23,Prophet,,750.2038922397818
2025-09-24,Prophet,,750.7483462193705
2025-09-25,Prophet,,751.1052809958758
2025-09-26,Prophet,,751.5825986978899
2025-09-27,Prophet,,754.6073017853571
2025-09-28,Prophet,,755.1114379788528
2025-09-29,Prophet,,753.1273407798224
2025-09-30,Prophet,,753.5803662729653
2025-10-01,Prophet,,754.2495728353958
2025-10-02,Prophet,,754.717824573431
2025-10-03,Prophet,,755.2908298703096
2025-10-04,Prophet,,758.3937319715542
2025-10-05,Prophet,,758.9571012386668
2025-10-06,Prophet,,757.0122142190827
2025-10-07,Prophet,,757.483819096271
