Date,Model,Actual,Forecast
2025-08-11,SARIMA,,213.11079059198266
2025-08-12,SARIMA,,213.17217049683586
2025-08-13,SARIMA,,213.14341198753178
2025-08-14,SARIMA,,213.2919086792068
2025-08-15,SARIMA,,213.3413645418904
2025-08-18,SARIMA,,213.44116356822616
2025-08-19,SARIMA,,213.55090453200498
2025-08-20,SARIMA,,213.4934784668569
2025-08-21,SARIMA,,213.66078179495022
2025-08-22,SARIMA,,213.7002234959417
2025-08-25,SARIMA,,213.80617754876417
2025-08-26,SARIMA,,213.91224086758632
2025-08-27,SARIMA,,213.85701217856803
2025-08-28,SARIMA,,214.02300235047403
2025-08-29,SARIMA,,214.0632285091267
2025-09-01,SARIMA,,214.16871382366378
2025-09-02,SARIMA,,214.27505721523144
2025-09-03,SARIMA,,214.21966118178315
2025-09-04,SARIMA,,214.38575134259256
2025-09-05,SARIMA,,214.42591775755005
2025-09-08,SARIMA,,214.53143876915445
2025-09-09,SARIMA,,214.637760831601
2025-09-10,SARIMA,,214.58237754237635
2025-09-11,SARIMA,,214.74846008846805
2025-09-12,SARIMA,,214.78863105324572
2025-09-15,SARIMA,,214.8941493463168
2025-09-16,SARIMA,,215.0004730330964
2025-09-17,SARIMA,,214.94508877332711
2025-09-18,SARIMA,,215.11117189932258
2025-09-19,SARIMA,,215.15134251760574
2025-09-22,SARIMA,,215.2568610177085
2025-09-23,SARIMA,,215.36318458078597
2025-09-24,SARIMA,,215.30780039492913
2025-09-25,SARIMA,,215.47388347676164
2025-09-26,SARIMA,,215.51405412143234
2025-09-29,SARIMA,,215.61957260576847
2025-09-30,SARIMA,,215.72589617826654
2025-10-01,SARIMA,,215.67051198678084
2025-10-02,SARIMA,,215.83659507197666
2025-10-03,SARIMA,,215.87676571463777
2025-10-06,SARIMA,,215.98228420017463
2025-10-07,SARIMA,,216.08860777195525
2025-10-08,SARIMA,,216.03322358089824
2025-10-09,SARIMA,,216.1993066658379
2025-10-10,SARIMA,,216.23947730865206
2025-10-13,SARIMA,,216.34499579409746
2025-10-14,SARIMA,,216.45131936593273
2025-10-15,SARIMA,,216.39593517484306
2025-10-16,SARIMA,,216.56201825980224
2025-10-17,SARIMA,,216.60218890260475
2025-10-20,SARIMA,,216.70770738805712
2025-10-21,SARIMA,,216.81403095988824
2025-10-22,SARIMA,,216.75864676880107
2025-10-23,SARIMA,,216.92472985375875
2025-10-24,SARIMA,,216.96490049656214
2025-10-27,SARIMA,,217.07041898201396
2025-10-28,SARIMA,,217.1767425538454
2025-10-29,SARIMA,,217.12135836275803
2025-10-30,SARIMA,,217.28744144771582
2025-10-31,SARIMA,,217.32761209051915
